MemberID,EventDay,CreatedDate,BikeSteps,WalkSteps,SwimSteps,OtherSteps,TotalSteps,SpeedCheck,Channel,DeviceType,CheaterProb,ProgramDate
5873384,1,42880.28247,0,11941,0,0,11941,Regular,PH,Sync,0,24/05/2017
7284429,1,42880.28481,0,14924,0,0,14924,Regular,PH,Manual,0,24/05/2017
7039008,1,42880.28932,0,12308,0,0,12308,Regular,AD,Manual,1,24/05/2017
6595527,1,42880.2895,0,19630,0,0,19630,Regular,PH,Sync,1,24/05/2017
6930922,1,42880.28954,0,2749,0,0,2749,Regular,AD,Sync,0,24/05/2017
3077318,1,42880.28959,0,8577,0,0,8577,Regular,WB,Manual,1,24/05/2017
6431596,1,42880.29047,0,6926,0,0,6926,Regular,AD,Sync,0,24/05/2017
4642584,1,42880.3009,0,13502,0,0,13502,Regular,WB,Manual,0,24/05/2017
7225992,1,42880.30203,0,14573,0,0,14573,Regular,WB,Manual,1,24/05/2017
6968633,1,42880.30294,0,12288,0,0,12288,Regular,PH,GM,2,24/05/2017
6749984,1,42880.31391,0,10225,0,0,10225,Regular,AD,Sync,0,24/05/2017
5910600,1,42880.31859,0,10926,0,0,10926,Regular,WB,Manual,0,24/05/2017
7125971,1,42880.32295,0,8353,0,0,8353,Regular,AD,Sync,1,24/05/2017
6661820,1,42880.32606,0,5227,0,0,5227,Regular,WB,Manual,1,24/05/2017
5336951,1,42880.3299,1574,10318,0,0,11892,Regular,AD,Manual,1,24/05/2017
6595249,1,42880.33001,1403,14611,0,0,16014,Regular,AD,Manual,1,24/05/2017
6698420,1,42880.33009,0,14245,0,0,14245,Regular,WB,Manual,1,24/05/2017
6759420,1,42880.33204,0,5762,0,0,5762,Regular,WB,Manual,0,24/05/2017
7282004,1,42880.34565,0,10924,0,0,10924,Regular,PH,Manual,0,24/05/2017
4748024,1,42880.35034,0,12030,0,0,12030,Regular,WB,Manual,0,24/05/2017
6593082,1,42880.36241,0,6588,0,0,6588,Regular,PH,Manual,0,24/05/2017
4752106,1,42880.36448,7100,10866,0,0,17966,Regular,WB,Manual,0,24/05/2017
7376718,1,42880.36488,0,6313,0,0,6313,Regular,PH,Sync,0,24/05/2017
4713363,1,42880.37069,0,13569,0,0,13569,Regular,WB,Manual,1,24/05/2017
6753873,1,42880.38849,0,10924,0,0,10924,Regular,WB,Manual,0,24/05/2017
6402102,1,42880.39214,0,17754,0,0,17754,Regular,WB,Manual,2,24/05/2017
7199718,1,42880.40058,0,12641,0,0,12641,Regular,PH,Manual,1,24/05/2017
7195290,1,42880.40069,0,6786,0,0,6786,Regular,AD,Manual,1,24/05/2017
6471073,1,42880.40455,0,17984,0,0,17984,Regular,PH,Sync,1,24/05/2017
6664608,1,42880.4187,0,15597,0,0,15597,Regular,PH,Sync,5,24/05/2017
7241669,1,42880.42474,0,7018,0,0,7018,Regular,PH,GM,0,24/05/2017
6675669,1,42880.43571,0,4412,0,0,4412,Regular,AD,Sync,0,24/05/2017
6554122,1,42880.46002,1306,14253,0,0,15559,Regular,PH,Sync,5,24/05/2017
7356118,1,42880.47547,0,13002,0,0,13002,Regular,PH,Sync,1,24/05/2017
4695204,1,42880.47561,0,20953,0,0,20953,Regular,WB,Manual,0,24/05/2017
6969020,1,42880.48094,0,13967,0,0,13967,Regular,WB,Manual,3,24/05/2017
6640335,1,42880.48953,0,6806,0,0,6806,Regular,AD,Sync,0,24/05/2017
6590812,1,42880.49894,0,5656,0,0,5656,Regular,PH,Sync,0,24/05/2017
6580090,1,42880.50564,0,10154,0,0,10154,Regular,AD,Sync,0,24/05/2017
7244400,1,42880.52428,0,5936,0,0,5936,Regular,PH,Sync,0,24/05/2017
6626849,1,42880.54969,0,11609,0,0,11609,Regular,PH,FB,1,24/05/2017
7201939,1,42880.55998,0,9616,0,0,9616,Regular,WB,Manual,1,24/05/2017
7185641,1,42880.5619,0,11512,0,0,11512,Regular,WB,Manual,0,24/05/2017
5669600,1,42880.56196,0,18416,0,0,18416,Regular,WB,GM,2,24/05/2017
7322086,1,42880.56604,0,10899,0,0,10899,Regular,WB,Manual,1,24/05/2017
6604947,1,42880.56963,0,13625,0,0,13625,Regular,WB,Manual,2,24/05/2017
5598433,1,42880.57017,0,13767,0,0,13767,Regular,WB,Manual,3,24/05/2017
4693212,1,42880.57548,0,13722,0,0,13722,Regular,WB,Manual,0,24/05/2017
7150106,1,42880.60825,0,12562,0,0,12562,Regular,PH,GM,2,24/05/2017
6636176,1,42880.61935,0,5924,0,0,5924,Regular,AD,Manual,0,24/05/2017
6556208,1,42880.62136,0,14308,0,0,14308,Regular,WB,Manual,3,24/05/2017
7205951,1,42880.65477,0,18057,0,0,18057,Regular,PH,Sync,1,24/05/2017
6432065,1,42880.65618,0,10159,0,0,10159,Regular,AD,Manual,1,24/05/2017
6635082,1,42880.65992,0,6852,0,0,6852,Regular,WB,Manual,0,24/05/2017
3687722,1,42880.70261,0,9422,0,0,9422,Regular,PH,Manual,0,24/05/2017
7407396,1,42880.7061,0,7748,0,0,7748,Regular,WB,Manual,0,24/05/2017
6739029,1,42880.7438,0,27924,0,0,27924,Regular,AD,Manual,4,24/05/2017
4843363,1,42880.78476,0,11746,0,0,11746,Regular,PH,FB,1,24/05/2017
7173714,1,42880.79066,0,17102,0,0,17102,Regular,AD,Sync,0,24/05/2017
6406584,1,42880.83903,0,17815,0,0,17815,Regular,WB,Manual,4,24/05/2017
6580090,2,42880.84884,0,15148,0,0,15148,Regular,AD,Sync,0,25/05/2017
6685045,2,42880.84953,0,11023,0,0,11023,Regular,PH,Sync,3,25/05/2017
5245094,2,42880.87538,0,12489,0,0,12489,Regular,PH,Manual,1,25/05/2017
7195290,2,42880.8756,0,5563,0,0,5563,Regular,AD,Sync,1,25/05/2017
6546906,1,42880.876,0,8659,0,0,8659,Regular,AD,Sync,1,24/05/2017
7377314,1,42880.88028,0,17995,0,0,17995,Regular,PH,Manual,1,24/05/2017
6723804,1,42880.88486,0,15704,0,0,15704,Regular,WB,Manual,0,24/05/2017
6792967,1,42880.89297,0,12392,0,0,12392,Regular,PH,Sync,0,24/05/2017
6785706,1,42880.91832,0,18162,0,0,18162,Regular,PH,Sync,0,24/05/2017
7219310,2,42880.91839,0,12690,0,0,12690,Regular,PH,Manual,0,25/05/2017
7179955,1,42880.92053,0,4382,0,0,4382,Regular,WB,Manual,0,24/05/2017
7125971,2,42880.93551,0,10910,0,0,10910,Regular,AD,Manual,1,25/05/2017
6976759,2,42880.94876,0,11193,0,0,11193,Regular,AD,Sync,0,25/05/2017
7063310,2,42880.95437,0,6027,0,0,6027,Regular,PH,Sync,0,25/05/2017
6955910,2,42880.98055,0,26996,0,0,26996,Regular,PH,Sync,8,25/05/2017
7300763,2,42880.98241,0,11392,0,0,11392,Regular,PH,Manual,1,25/05/2017
6615465,2,42881.00634,1724,9591,0,0,11315,Regular,PH,Sync,0,25/05/2017
7150106,2,42881.02515,0,10937,0,0,10937,Regular,PH,Manual,1,25/05/2017
7244400,2,42881.04572,0,4585,0,0,4585,Regular,PH,Sync,0,25/05/2017
7279739,2,42881.06482,7544,6008,0,0,13552,Regular,WB,Manual,3,25/05/2017
4086510,1,42881.08547,0,11412,0,0,11412,Regular,WB,GM,1,24/05/2017
7374735,1,42881.10609,0,17668,0,0,17668,Regular,PH,Manual,1,24/05/2017
7282004,2,42881.12667,0,19219,0,0,19219,Regular,PH,Manual,1,25/05/2017
6595527,2,42881.15162,0,22023,0,0,22023,Regular,PH,Sync,1,25/05/2017
6437363,2,42881.16659,0,15924,0,0,15924,Regular,PH,Manual,7,25/05/2017
6977820,2,42881.17221,0,12735,0,0,12735,Regular,AD,Sync,4,25/05/2017
7356118,2,42881.17884,0,13994,0,0,13994,Regular,PH,Manual,1,25/05/2017
7029331,2,42881.19056,0,11485,0,0,11485,Regular,AD,Manual,1,25/05/2017
4883518,2,42881.19341,0,16811,0,0,16811,Regular,AD,Sync,1,25/05/2017
6895576,2,42881.19407,0,11396,0,0,11396,Regular,AD,Manual,0,25/05/2017
6930922,2,42881.19421,0,13020,0,0,13020,Regular,AD,Sync,1,25/05/2017
6593082,2,42881.20294,0,1174,0,0,1174,Regular,PH,Manual,0,25/05/2017
7245543,2,42881.20949,1724,16537,0,0,18261,Regular,PH,FB,1,25/05/2017
7259163,2,42881.21079,0,7128,0,0,7128,Regular,PH,Manual,0,25/05/2017
7205951,2,42881.21269,0,12821,0,0,12821,Regular,PH,Sync,0,25/05/2017
6595249,2,42881.22678,0,18352,0,0,18352,Regular,AD,Manual,1,25/05/2017
7338588,1,42881.22814,0,14232,0,0,14232,Regular,AD,Sync,1,24/05/2017
6703759,1,42881.22853,0,8074,0,0,8074,Regular,AD,Manual,0,24/05/2017
6703759,2,42881.22853,0,15524,0,0,15524,Regular,AD,Manual,1,25/05/2017
6406584,2,42881.22877,0,11524,5272,0,16796,Regular,WB,Manual,3,25/05/2017
6785706,2,42881.23109,0,16811,0,0,16811,Regular,PH,Sync,0,25/05/2017
6749984,2,42881.23382,0,6423,0,0,6423,Regular,AD,Sync,0,25/05/2017
7280812,2,42881.23907,0,13738,0,0,13738,Regular,PH,Manual,0,25/05/2017
6723804,2,42881.24262,0,8565,0,0,8565,Regular,PH,Manual,0,25/05/2017
7173396,2,42881.24327,0,12791,0,0,12791,Regular,PH,Manual,1,25/05/2017
6431596,2,42881.24582,0,4187,0,0,4187,Regular,AD,Sync,0,25/05/2017
7088637,2,42881.24604,0,25642,0,0,25642,Regular,AD,Manual,14,25/05/2017
5336951,2,42881.24696,0,14199,0,0,14199,Regular,WB,Manual,1,25/05/2017
5587465,1,42881.24809,1424,8937,0,0,10361,Regular,AD,Manual,0,24/05/2017
5587465,2,42881.24809,1424,18680,0,0,20104,Regular,AD,Manual,1,25/05/2017
7317249,2,42881.25343,0,15291,0,0,15291,Regular,PH,Manual,4,25/05/2017
7208449,2,42881.25813,0,25946,0,0,25946,Regular,AD,Sync,2,25/05/2017
7284429,2,42881.26051,0,18150,0,0,18150,Regular,PH,Sync,0,25/05/2017
5319922,2,42881.26168,0,11465,0,0,11465,Regular,AD,Manual,1,25/05/2017
7273151,2,42881.26353,0,14089,0,0,14089,Regular,AD,Sync,3,25/05/2017
7039008,2,42881.2659,2324,9177,0,0,11501,Regular,AD,Manual,1,25/05/2017
6739029,2,42881.26883,0,17607,0,0,17607,Regular,AD,Sync,1,25/05/2017
5873384,2,42881.26986,0,12453,0,0,12453,Regular,PH,Sync,0,25/05/2017
7268506,2,42881.27064,0,20674,0,0,20674,Regular,PH,Manual,6,25/05/2017
7268506,1,42881.2716,0,10649,0,0,10649,Regular,PH,Manual,1,24/05/2017
6698420,2,42881.27665,0,17503,0,0,17503,Regular,PH,GM,2,25/05/2017
7180061,2,42881.27982,0,12440,0,0,12440,Regular,AD,Sync,1,25/05/2017
3077318,2,42881.28066,0,10960,0,0,10960,Regular,WB,Manual,2,25/05/2017
6968633,2,42881.2887,0,25428,0,0,25428,Regular,PH,GM,12,25/05/2017
6675669,2,42881.29018,0,5353,0,0,5353,Regular,AD,Sync,0,25/05/2017
6758498,2,42881.29266,0,10324,0,0,10324,Regular,PH,Manual,1,25/05/2017
6753873,2,42881.29589,0,12105,0,0,12105,Regular,PH,Sync,0,25/05/2017
6432698,2,42881.30043,0,31164,0,0,31164,Regular,AD,Sync,9,25/05/2017
4642584,2,42881.30135,0,10376,0,0,10376,Regular,WB,Manual,0,25/05/2017
6664608,2,42881.30304,0,11271,0,0,11271,Regular,PH,Sync,2,25/05/2017
7225992,2,42881.30722,0,7684,0,0,7684,Regular,WB,Manual,0,25/05/2017
7377314,2,42881.3262,0,5124,0,0,5124,Regular,PH,Manual,0,25/05/2017
6590812,2,42881.33117,0,8365,0,0,8365,Regular,PH,Sync,0,25/05/2017
7384073,2,42881.33685,0,13579,0,0,13579,Regular,WB,Manual,0,25/05/2017
7384073,1,42881.33685,0,12924,0,0,12924,Regular,WB,Manual,0,24/05/2017
7172294,1,42881.34364,0,7929,0,0,7929,Regular,WB,Manual,0,24/05/2017
7172294,2,42881.34364,0,15780,0,0,15780,Regular,WB,Manual,2,25/05/2017
4748024,2,42881.34692,0,14804,0,0,14804,Regular,AD,Manual,0,25/05/2017
4693212,2,42881.34926,0,14950,0,0,14950,Regular,WB,Manual,1,25/05/2017
5910600,2,42881.3535,0,11141,0,0,11141,Regular,WB,Manual,0,25/05/2017
1736747,2,42881.35481,0,7724,0,0,7724,Regular,AD,Manual,0,25/05/2017
1736747,1,42881.35481,0,6924,0,0,6924,Regular,AD,Manual,0,24/05/2017
7201939,2,42881.38157,0,12208,0,0,12208,Regular,WB,Manual,1,25/05/2017
6003469,2,42881.38533,0,8986,0,0,8986,Regular,WB,Manual,0,25/05/2017
6003469,1,42881.38533,0,9987,0,0,9987,Regular,WB,Manual,0,24/05/2017
6433176,2,42881.40491,0,16510,0,0,16510,Regular,AD,Sync,1,25/05/2017
6433176,1,42881.40491,0,11145,0,0,11145,Regular,AD,Sync,0,24/05/2017
6661820,2,42881.41055,0,19162,0,0,19162,Regular,WB,Manual,5,25/05/2017
7225449,1,42881.42067,2924,15780,0,0,18704,Regular,PH,Manual,1,24/05/2017
7225449,2,42881.42067,0,12281,0,0,12281,Regular,PH,Manual,0,25/05/2017
4752106,2,42881.43271,17239,9663,0,0,26902,Regular,WB,Manual,2,25/05/2017
7241669,2,42881.43754,0,6886,0,0,6886,Regular,PH,GM,0,25/05/2017
6095906,1,42881.43924,0,13462,0,0,13462,Regular,PH,GM,2,24/05/2017
6095906,2,42881.43924,0,16585,0,0,16585,Regular,PH,GM,3,25/05/2017
6471073,2,42881.43999,0,14091,0,0,14091,Regular,PH,Sync,1,25/05/2017
7107355,1,42881.44388,0,13924,2897,0,16821,Regular,WB,Manual,1,24/05/2017
7107355,2,42881.44388,0,13770,0,0,13770,Regular,WB,Manual,0,25/05/2017
6636176,2,42881.46194,0,12924,0,0,12924,Regular,AD,Manual,1,25/05/2017
6969020,2,42881.46625,0,18347,0,0,18347,Regular,WB,Manual,7,25/05/2017
5367363,1,42881.46715,0,11890,0,0,11890,Regular,WB,Manual,1,24/05/2017
5367363,2,42881.46715,0,13244,0,0,13244,Regular,WB,Manual,1,25/05/2017
7128290,2,42881.47038,0,14414,0,0,14414,Regular,PH,Sync,3,25/05/2017
5594922,2,42881.47039,7583,13278,0,0,20861,Regular,PH,Manual,3,25/05/2017
7376718,2,42881.47276,0,12181,0,0,12181,Regular,PH,Sync,1,25/05/2017
6626849,2,42881.47382,4980,8681,0,0,13661,Regular,PH,FB,1,25/05/2017
4713363,2,42881.50079,0,15935,0,0,15935,Regular,WB,Manual,2,25/05/2017
6554122,2,42881.50107,7583,4379,0,0,11962,Regular,PH,Sync,3,25/05/2017
6452592,2,42881.51695,0,18150,0,0,18150,Regular,AD,Sync,1,25/05/2017
6452592,1,42881.51695,0,13604,0,0,13604,Regular,AD,Sync,0,24/05/2017
7199718,2,42881.54575,0,12742,0,0,12742,Regular,PH,Manual,1,25/05/2017
7338588,2,42881.54824,0,15971,0,0,15971,Regular,AD,Manual,1,25/05/2017
7185645,2,42881.54867,0,7468,0,0,7468,Regular,PH,Sync,1,25/05/2017
7185645,1,42881.54867,0,12062,0,0,12062,Regular,PH,Sync,2,24/05/2017
6635082,2,42881.55442,0,15619,0,0,15619,Regular,PH,Sync,1,25/05/2017
5282955,1,42881.58022,0,7924,0,0,7924,Regular,AD,Manual,1,24/05/2017
5282955,2,42881.58022,0,4924,0,0,4924,Regular,AD,Manual,0,25/05/2017
6640335,2,42881.59675,1124,6952,0,0,8076,Regular,AD,Sync,0,25/05/2017
7170057,2,42881.59842,3824,11424,0,0,15248,Regular,WB,Manual,2,25/05/2017
7170057,1,42881.59842,3824,8424,0,0,12248,Regular,WB,Manual,1,24/05/2017
5598433,2,42881.62999,0,10566,0,0,10566,Regular,WB,Manual,2,25/05/2017
6432065,2,42881.65162,0,11256,0,0,11256,Regular,AD,Manual,1,25/05/2017
6556208,2,42881.65169,0,12887,0,0,12887,Regular,WB,Manual,3,25/05/2017
5718102,2,42881.65391,0,4224,12397,0,16621,Regular,WB,Manual,3,25/05/2017
5718102,1,42881.65391,0,3074,11922,0,14996,Regular,WB,Manual,3,24/05/2017
6066694,1,42881.67055,0,14175,0,0,14175,Regular,WB,Manual,0,24/05/2017
6066694,2,42881.67055,0,16835,0,0,16835,Regular,WB,Manual,0,25/05/2017
6976759,3,42881.6721,0,14652,0,0,14652,Regular,AD,Sync,1,26/05/2017
7179955,2,42881.67367,0,4513,0,0,4513,Regular,WB,Manual,0,25/05/2017
4695204,2,42881.68245,0,16720,0,0,16720,Regular,PH,Manual,0,25/05/2017
5278188,1,42881.68828,0,0,0,5522,5522,Regular,PH,Manual,4,24/05/2017
5278188,2,42881.68828,0,15924,0,0,15924,Regular,PH,Manual,18,25/05/2017
7322086,2,42881.68899,0,12924,0,0,12924,Regular,WB,Manual,2,25/05/2017
6840714,2,42881.70593,0,5584,0,0,5584,Regular,WB,Manual,0,25/05/2017
6840714,1,42881.70593,0,5799,0,0,5799,Regular,WB,Manual,0,24/05/2017
7063310,3,42881.75814,0,5838,0,0,5838,Regular,PH,Sync,0,26/05/2017
6696118,2,42881.76005,0,16637,0,0,16637,Regular,AD,Manual,6,25/05/2017
6696118,1,42881.76005,0,9597,0,0,9597,Regular,AD,Sync,2,24/05/2017
7185641,2,42881.79508,0,9524,0,0,9524,Regular,PH,Manual,0,25/05/2017
6935318,1,42881.79888,0,4765,0,0,4765,Regular,PH,Sync,0,24/05/2017
6935318,2,42881.79888,0,8459,0,0,8459,Regular,PH,Sync,0,25/05/2017
6546906,2,42881.82565,0,5961,0,0,5961,Regular,AD,Sync,0,25/05/2017
7345829,1,42881.86287,0,7473,0,0,7473,Regular,PH,Manual,1,24/05/2017
7345829,2,42881.86287,0,5456,0,0,5456,Regular,PH,Manual,1,25/05/2017
6471073,3,42881.8669,0,19975,0,0,19975,Regular,PH,Sync,1,26/05/2017
5669600,2,42881.87401,0,13763,0,0,13763,Regular,WB,GM,1,25/05/2017
7279739,3,42881.87909,2624,11460,0,0,14084,Regular,WB,Manual,3,26/05/2017
7195290,3,42881.88156,0,6745,0,0,6745,Regular,AD,Sync,1,26/05/2017
6685045,3,42881.91351,0,11232,0,0,11232,Regular,PH,Sync,3,26/05/2017
7173714,2,42881.93172,0,16905,0,0,16905,Regular,AD,Sync,0,25/05/2017
6580090,3,42881.93199,0,11471,0,0,11471,Regular,AD,Sync,0,26/05/2017
4843363,2,42881.93273,0,11341,0,0,11341,Regular,PH,Manual,1,25/05/2017
6598351,2,42881.93461,0,11205,0,0,11205,Regular,PH,Manual,1,25/05/2017
7219310,3,42881.93812,0,12204,0,0,12204,Regular,PH,Manual,0,26/05/2017
4086510,2,42881.95999,0,11104,0,0,11104,Regular,WB,GM,1,25/05/2017
6792967,2,42881.96011,0,12953,0,0,12953,Regular,PH,Sync,1,25/05/2017
6792967,3,42881.96011,0,12005,0,0,12005,Regular,PH,Sync,0,26/05/2017
7173396,3,42881.96053,0,12504,0,0,12504,Regular,PH,Sync,1,26/05/2017
5219196,1,42882.00367,0,5932,0,0,5932,Regular,PH,Manual,0,24/05/2017
5219196,2,42882.00367,0,7144,0,0,7144,Regular,PH,Manual,0,25/05/2017
5219196,3,42882.00367,0,7356,0,0,7356,Regular,PH,Manual,0,26/05/2017
7029331,3,42882.01594,0,11524,0,0,11524,Regular,AD,Manual,1,26/05/2017
7300763,3,42882.04437,0,13778,0,0,13778,Regular,PH,Manual,1,26/05/2017
6661820,3,42882.06176,0,6558,0,0,6558,Regular,WB,Manual,1,26/05/2017
7150106,3,42882.06981,0,28368,0,0,28368,Regular,PH,Manual,19,26/05/2017
6723804,3,42882.09888,0,7379,0,0,7379,Regular,PH,Sync,0,26/05/2017
6935318,3,42882.10545,10124,8427,0,0,18551,Regular,PH,Sync,2,26/05/2017
6437363,3,42882.10669,0,15924,0,0,15924,Regular,PH,Manual,7,26/05/2017
6595527,3,42882.14422,0,19002,0,0,19002,Regular,PH,Sync,1,26/05/2017
7245543,3,42882.19183,2414,13353,0,0,15767,Regular,PH,Manual,1,26/05/2017
6895576,3,42882.20883,0,14437,2897,0,17334,Regular,AD,Manual,1,26/05/2017
6968633,3,42882.21584,0,13020,0,0,13020,Regular,PH,GM,2,26/05/2017
6930922,3,42882.21902,0,12343,0,0,12343,Regular,AD,Sync,1,26/05/2017
7205951,3,42882.21918,0,14882,0,0,14882,Regular,PH,Sync,0,26/05/2017
6785706,3,42882.23883,0,19812,0,0,19812,Regular,PH,Sync,1,26/05/2017
6406584,3,42882.2408,0,16140,5272,0,21412,Regular,WB,Manual,6,26/05/2017
6593082,3,42882.24937,0,10344,0,0,10344,Regular,PH,Manual,1,26/05/2017
6739029,3,42882.25443,0,22660,0,0,22660,Regular,AD,Sync,2,26/05/2017
7180061,3,42882.26012,0,12549,0,0,12549,Regular,AD,Sync,1,26/05/2017
5594922,3,42882.26619,3382,12617,0,0,15999,Regular,PH,Manual,2,26/05/2017
7039008,3,42882.27243,2024,11808,0,0,13832,Regular,AD,Sync,1,26/05/2017
4843363,3,42882.27955,7124,10987,1709,0,19820,Regular,PH,FB,2,26/05/2017
7282004,3,42882.28419,0,16742,0,0,16742,Regular,PH,Manual,1,26/05/2017
4883518,3,42882.29167,0,16396,0,0,16396,Regular,AD,Sync,1,26/05/2017
6499865,2,42882.30019,0,26520,0,0,26520,Regular,AD,Sync,5,25/05/2017
6499865,1,42882.30019,0,3165,0,0,3165,Regular,AD,Sync,0,24/05/2017
6499865,3,42882.30019,0,15606,0,0,15606,Regular,AD,Sync,1,26/05/2017
6432065,3,42882.30413,0,21445,0,0,21445,Regular,AD,Manual,5,26/05/2017
5245094,3,42882.30654,0,9033,0,0,9033,Regular,PH,Manual,1,26/05/2017
5873384,3,42882.31533,0,13993,0,0,13993,Regular,PH,Sync,0,26/05/2017
6703759,3,42882.31696,0,11094,0,0,11094,Regular,AD,Manual,1,26/05/2017
6595249,3,42882.31784,0,13783,0,0,13783,Regular,AD,Manual,1,26/05/2017
6753873,3,42882.31811,0,11474,0,0,11474,Regular,PH,Sync,0,26/05/2017
6955910,3,42882.33085,0,15764,0,0,15764,Regular,PH,Manual,1,26/05/2017
3077318,3,42882.34097,0,11370,0,0,11370,Regular,WB,Manual,2,26/05/2017
7317249,3,42882.34105,0,22429,0,0,22429,Regular,PH,Manual,11,26/05/2017
4642584,3,42882.34521,0,10537,0,0,10537,Regular,PH,Manual,0,26/05/2017
7280812,3,42882.34616,0,14080,0,0,14080,Regular,PH,Manual,0,26/05/2017
6431596,3,42882.34703,0,5436,0,0,5436,Regular,AD,Sync,0,26/05/2017
6546906,3,42882.35687,0,21326,0,0,21326,Regular,AD,Sync,6,26/05/2017
7259163,3,42882.35753,0,10959,0,0,10959,Regular,PH,Sync,0,26/05/2017
7268506,3,42882.36315,0,16837,0,0,16837,Regular,PH,Manual,4,26/05/2017
7244400,3,42882.37215,0,7876,0,0,7876,Regular,PH,Sync,0,26/05/2017
6636176,3,42882.37408,0,12795,0,0,12795,Regular,AD,Manual,1,26/05/2017
7125971,3,42882.37891,0,11760,0,0,11760,Regular,AD,Manual,2,26/05/2017
7376718,3,42882.38847,0,9834,0,0,9834,Regular,PH,Sync,1,26/05/2017
6698420,3,42882.40271,0,14121,0,0,14121,Regular,PH,Manual,1,26/05/2017
6635082,3,42882.40638,0,12476,0,0,12476,Regular,PH,Sync,1,26/05/2017
6554122,3,42882.44468,5652,5544,0,0,11196,Regular,PH,Sync,2,26/05/2017
7356118,3,42882.44773,0,16214,0,0,16214,Regular,PH,Sync,1,26/05/2017
5598433,3,42882.46441,0,19211,0,0,19211,Regular,PH,Manual,7,26/05/2017
6969020,3,42882.47346,0,20033,0,0,20033,Regular,WB,Manual,8,26/05/2017
7241669,3,42882.47674,0,19173,0,0,19173,Regular,PH,GM,1,26/05/2017
6626849,3,42882.48066,0,6373,0,0,6373,Regular,PH,FB,0,26/05/2017
5319922,3,42882.48464,0,9646,0,0,9646,Regular,AD,Sync,1,26/05/2017
6590812,3,42882.49002,0,15113,0,0,15113,Regular,PH,Sync,1,26/05/2017
6664608,3,42882.51361,0,17263,0,0,17263,Regular,PH,Manual,6,26/05/2017
7208449,3,42882.56474,5652,8673,0,0,14325,Regular,AD,Sync,0,26/05/2017
6675669,3,42882.64632,0,4823,0,0,4823,Regular,AD,Sync,0,26/05/2017
7088637,3,42882.66907,0,15665,0,0,15665,Regular,AD,Manual,3,26/05/2017
7338588,3,42882.67018,3102,17155,0,0,20257,Regular,AD,Manual,2,26/05/2017
7273151,3,42882.67115,0,15636,0,0,15636,Regular,AD,Sync,4,26/05/2017
7377314,3,42882.71002,0,7484,0,0,7484,Regular,PH,FB,0,26/05/2017
6452592,3,42882.73728,0,19042,0,0,19042,Regular,AD,Sync,1,26/05/2017
6433176,3,42882.76081,0,16301,0,0,16301,Regular,AD,Sync,1,26/05/2017
7107355,3,42882.79607,0,15946,0,0,15946,Regular,PH,Manual,1,26/05/2017
